Sentence,English_Translation,prefix
"after 9pm , we have another party to attend buddy .. ;)","after 9pm , we have another party to attend buddy ..",translate English to Hinglish: 
kahan khoya hai mungerilal :d,Where are you lost Mungerilal? ,translate English to Hinglish: 
@TheDilliMirror Veerji tusee ho o dande aale bande,@ Tahdillimorer veerji tussi ho o dandale bonde,translate English to Hinglish: 
@ek_samosa_dena @BolshoyBooze India ne mujhe saavdhan kiya hai iss case mein.,@ek_samosa_dena @BolshoyBooze India made me careful in this case.,translate English to Hinglish: 
Patakhe nahi logon ki jalao.,blow people instead of crackers ,translate English to Hinglish: 
"apne ko sirf bhai wale part se matlab hai, 1 saal kaun wait kare movie ka.","We are only concerned about the part of brother, who will wait for an year for the movie?",translate English to Hinglish: 
kya bakwas kar rahe ho tum?,what rubbish are you talking about?,translate English to Hinglish: 
"Sir, @ArvindKejriwal @ashutosh83B @DrKumarVishwas ek nazar","Sir, @ArvindKejriwal @ashutosh83B @DrKumarVishwas one view",translate English to Hinglish: 
rbba sch a looser .  .  . khud nibjeet sktey to dusro ki har celebrate krne agye .  .  . uff these people,rbba sch a looser .  .  .if they can't win why they are joining others lost .  .  . uff these people,translate English to Hinglish: 
@imRitikThakur bhai thoda khud bhi dimag lagao yaar,@imRitikThakur bro you should apply a bit of brain.,translate English to Hinglish: 
Kya ho raha hai iss desh mein?,what is happening in this country?,translate English to Hinglish: 
"maazi aatya chi porgi aahe, ti airlines madhe air-hostage aahe.",my father's sister's daughter is an air-hostage in an airlines,translate English to Hinglish: 
iss bar eid ki party bhai ki tarf se...........,this time the eid party is on him.,translate English to Hinglish: 
I think wearing weird clothes and chappals mean we are innocent train us with your own risk :D,I think wearing weird clothes and chappals mean we are INNOCENT . Train us with your own risk :D,translate English to Hinglish: 
logo ko ullu banane wale ko solid reply .,giving a befitting reply to the people who make a fool out of others!,translate English to Hinglish: 
"and if you're from maryland ,  early voting has been extended until tomorrow at 9pm .  please go vote ! ","and if you are from maryland ,  early voting has been extended until tomorrow at 9pm .  please go and vote ! ",translate English to Hinglish: 
@YearOfRat bhai hogaya birthday!,@YearOfRat brother birthday is over!,translate English to Hinglish: 
@vichupedia wo to waqt hi bataega ,) @huh_watnow,translate English to Hinglish: 
@TigerNaMo ye to roz hota hai mere saath @BihariTweeter,@TigerNaMo this happens everyday with me @BihariTweeter,translate English to Hinglish: 
Dear Pakistani fans rakhlo match ke baad kaam ayega ðŸ˜‚ðŸ˜‚ #IndvsPak https://t.co/5bbfB8P5Fh,"Dear Pakistani fans, keep it, you will need it after the match‚ #IndvsPak https://t.co/5bbfB8P5Fh",translate English to Hinglish: 
"Mitthi ki hai jo khsuhbu, tu kaise bhulayega? Tu chahe beh jaaye tu laut ke aayega.. https://twitter.com/aajtak/status/646286561235963904Â â€¦",you will never forget your home country. you go anywhere you wil get back once   https://twitter.com/aajtak/status/646286561235963904Â â€¦,translate English to Hinglish: 
@someUSER you won't be getting candy till monday .  i am (by my own stupidity) a sick person right meow .   . - ,@someUSER you won't be getting candy till monday . i am by my own stupidity a sick person right meow .,translate English to Hinglish: 
"Ye #Trump ke Kaan mei Bta rkha hai "" agla deal USA se hai 0",it has been told in #Trump 's ear. next deal is with USA,translate English to Hinglish: 
Modi ji ki ambiguity bhi strategic hoti haihttps://twitter.com/minhazmerchant/status/779925218026401794 …,modi ji's ambiguity is also strategic https://twitter.com/minhazmerchant/status/779925218026401794 …,translate English to Hinglish: 
@Localheroin @kitAnurag iske mundan ka hi video hai,@Localheroin @kitAnurag this is a video of his ‘mundan’.,translate English to Hinglish: 
"Modi will be the DJ for tonight, aaj bhi apme bhashan se logon ko ghar se ATM tak nachayenge. #Respect","modi will be deejay for tonight, today also he will make people dance from thier homes to automated teller machines with his speech. #Respect",translate English to Hinglish: 
guddu control ur emotion .  .  think about contra .  .  .  sab normal ho jaiga tab .  .,guddu control your emotion .  .  think about contra .  .  .  only when everything goes back to normal .  .,translate English to Hinglish: 
"@dan1shmemon delete kar diya, kya that?","@dan1shmemon you deleted it, what was it?",translate English to Hinglish: 
baba ramdev bhi chand dino k baad apky against aa rahy hai .  .  .  . akhir kayon ?,after somedays baba ramdev will also come against you?,translate English to Hinglish: 
@Amit_smiling JDU ka andhkaar chalu ho chuka hai #BJPAheadMGBDead,@Amit_smiling dark days have started for jdu. #BJPAheadMGBDead,translate English to Hinglish: 
#WhereIsRahul Sonia gandhi ki godd me hoga :/,#WhereIsRahul must be in the lap of sonia gandhi.,translate English to Hinglish: 
Is Tarike Se Easily buy kar sakte hai #Bitcoin #India,"In this way, you can buy Silicon #Bitcoin #India",translate English to Hinglish: 
@GaurangJB wahi to bol raha hu,@GaurangJB that is what i am saying,translate English to Hinglish: 
mt @someUSER free tickets for @someUSER talking about dial m for murdoch on 6th december are available http/URL,mt @someUSER free tickets for @someUSER talking about dial m for murdoch on 6th december are available http/URL,translate English to Hinglish: 
Hii bhai kahan ho aap ..,"hi brother, where are you?",translate English to Hinglish: 
launcher paaji laddu pe concentrate kar rahe hain :p,Launcher Paaji is concentrating on Laddus.,translate English to Hinglish: 
Just din jail jaane ka suroor chhaya hoga uss din kar lenge. Okay?,"if someday i would be passionate for going to jail, then i will do it on that day. ",translate English to Hinglish: 
"RT @zarmenakhan3 : Aaj k bad newsAik boy k donkey ghar chorh kar bhag gaii ,,,,, Larhka donkey talash karny m nakaam ,,, Film =( talash )",rt @zarmenakhan3  todays' bad nwes is a boy's donkey run away from home. that boy was unable to find that donkey. Film =( search ),translate English to Hinglish: 
sacha hindusatni musalman ho to faisal bhai jaise  .  .  . india ka khta hai to indian ki hai gata hai,true indian should be like faisal bhai..he eats here and sings here,translate English to Hinglish: 
@huh_watnow chal chal chal mere haathi.. O mere saathi,@huh_watnow come come come with me...my partner,translate English to Hinglish: 
"RT @govindec082 : Congress reacts to #RailBudget2015 , says , "" UPA policies repackaged "" NAMO : - "" Tumhe sudharne hi to aaye hain ""","retweet @govindec082 : congress reacts to #RailBudget2015 , says , "" upa policies repackaged "" namo : - "" came here to improve you """,translate English to Hinglish: 
@RoflGandhi_ hahaha sikhenge kab bhai.,@RoflGandhi_ when will we learn dude.,translate English to Hinglish: 
"login karne ke baad aapke account me 150 ka free recharge add ho jayegaa .  .  ,   !",after login free recharge of 150 rupees will be added to your account.,translate English to Hinglish: 
"@Borborygm_ @Stupidosaur thoda aur research kar leta, kyu bola ye maine toh achha hota. Pehli baat toh research karna chhod de","@Borboring_ @ Stupidosaur would have done a little more research, why I said it would have been better. The first thing is to stop researching",translate English to Hinglish: 
copy bhula gaya !  !,forgot copy ! !,translate English to Hinglish: 
@runjhunmehrotra Oh tumhara naam bhi Mary hai ?,@runjhunmehrotra Oh even your name is mary ?,translate English to Hinglish: 
@light_0n accha use kore dekhbo ekbar .,@light_0n ok try using it for one time,translate English to Hinglish: 
"""Bhai ye bowlers ki wajah se haarne par press conference me kya bolna hota hai"" - Smith to Dhoni #indvsaus","""brother what do we say in the press conference when you lose the match because of the bowlers"" - smith to dhoni #indvsaus",translate English to Hinglish: 
Abhi Santa bhi na clause k sath aata hain #MTV #GST #MerryChristmas,now  days santa also comes with a clause #MTV #GST #MerryChristmas,translate English to Hinglish: 
@Ojasism @TweetErrant @BolshoyBooze CHUPPP KARRRRRpic.twitter.com/nqghht92j6,@Ojasism @TweetErrant @BolshoyBooze shut your mouth pic.twitter.com/nqghht92j6,translate English to Hinglish: 
"Aisi na mujhe to ghoor..
Mera balma aayega zaroor..
Woh hai chaila..mein hu hoor..
He is the one and only Tharoor !!",don't stare at me like that.,translate English to Hinglish: 
