sentence,english_translation
"after 9pm , we have another party to attend buddy .. ;)","after 9pm , we have another party to attend buddy .."
@YearOfRat ab yahin hu main bhai :-),@YearOfRat now am here only
@3DArnab haha. tl ki hi mar lete hai yaar,@ 3 Darnab. Man takes the floor
Abhi finals jaaye Bhaad main ! Hum log toh World Cup jeet gaye ! https://t.co/unf94UqpOW,now let finals go in the gutter ! we have won the world cup ! https://t.co/unf94UqpOW
@c_aashish ab mandap saja hi hai toh manjhi ji ne socha hum log bhi nipat lete hain.,"@c_aashish now that the pavilion had been decorated, mr. manjhi thought that we could be dealt with."
Bahut hi BODMAS bachcha hai ye.https://twitter.com/Being_Humor/status/659436990119546882 …,he is vey naughty boy. https://twitter.com/Being_Humor/status/659436990119546882
"@Alllahdin jhooth bole kauva kaate, kaale kauve se dariyo main-jamiaca chali jaungi tum dekhte rahiyo","@Alllahdin the one who lies is bitten by crow, fear the black crow- i will go to jamaica and you just keep on watching"
"tumko sab pata hai, tum bhi woh category ke ho?","you know everything, are you also from that category?"
@c_aashish isko jaanch honi chahiye + maine samvihan padha hai,@c_aashish this should be investigated + i have read the constitution
Aaj #Liberals ki haalat Vohi Hai jo 90 s mein #Sachin ke out hone pe #India ki hoti thi ...,Today #Liberals situation is like #India in 90 s when #Sachin would out ...
jackals goal !  jimmy martin sneaks a rebound past killeen to give elmira a 2-1 lead .  bushee &amp, bellamy with the assists . 1:09 left 2nd period
@dhaval241086 Kisi ne sadak pe chalte pehchaan liya. To bahut pelenge mujhe,"@dhaval241086 if someone recognizes me on the road , they'll beat me to shreds."
hello ji.. Aap bhool gaye :(,hello sir! you forgot me.
"@perky_girl16 haaye, mere bhi dil ka haal dekh lo please","@perky_girl16 oh, please see my heart state also."
@oxymoronic_me arre juhu tak kyu jaana? yahin andheri mein kahin?,@oxymoronic_me oh why to go till juhu ? why not somewhere in andheri?
Vai apka koi vi filim hanne dekna nihei chora....,We watched all your films
"kejri sullo ka chamcha hai ,  jago hindu jago","kejri is sycophant of sullo ,  wake up hindus wake up"
"hota hai yaar, singlehood issues.","it happens friend, singlehood issues"
aur phir proof bhi deta.. dekho Mehr ka ration card..,"And then I gave proof too, now see my ration card! "
"@imcomplicated__ kya kya jatan karte hai, tumhe kya pata?","what deeds we do, you don't know?"
#IndvsSA I have told today morning killed hum mauke pe chuka marenge ......,#IndvsSA I have told today morning that we will win at the right moment
@someUSER you won't be getting candy till monday .  i am (by my own stupidity) a sick person right meow .   . - ,@someUSER you won't be getting candy till monday . i am by my own stupidity a sick person right meow .
"Sorry, mujhe laga raat ke 1 baje hai.","sorry, i thoght it was 1 at night"
Diwali par China ka bikwane khud China ka Prez aaya hai https://twitter.com/ANI_news/status/787190133942472704 …,china has come out to sell china on diwali. https://twitter.com/ani_news/status/787190133942472704 …
@Localheroin @kitAnurag iske mundan ka hi video hai,@Localheroin @kitAnurag this is a video of his ‘mundan’.
ye school kalpanik h  .  .  .  iska vastvikta s koi talluk nhi :-p,"this school is imaginary, it has no relation with reality"
Samose khao aur shuru ho jao.,eat samosas and get started.
Jyada khush mat ho RWs.. Sonia Rahul ko bail ho jaegi.. #SoniaRahulHazirHo,don't be very happy rws. sonia and rahul will soon get bail. #SoniaRahulHazirHo
@iamGunjanGrunge ok aankh nahi utaunga.. Kuch aur....,"@iamGunjanGrunge ok, will not lift my eyes, but something else."
ye tumhare DP ko kya hogaya hai?,what has happened to your dp?
"me - mam ,  may i go to toilet plss ?  ?  mam - kyu jana h ?  ?  me - chambers of secrets kholne :-d","student to mam: mam, may i go to toilet please? mam to student: why you want to go? student to mam: to open chmabers of secret"
awesome .  .  sharma ji ka launda .  .  lol .  .  pankaj khangar,awesome . . sharma ji son . . lol . . pankaj khangar
CHAAR BAJ GAYE... AUR CHAAR BACH GAYE !!,its four in the clock...and four are left!!
Mullo ko bhagao...TP mat karo,"kick out the mullas, don't  do TP "
"Bas kar bahen, ro mat. Kal holi hai, thoda pani bacha le.","stop it sister, do not cry. it is holi tomorrow, save some water."
guddu ke sarcastic comments .  .,guddu's sarcastic comments . .
"thanks garbage bin !  this is awesome !  :) look at guddu's face light up with happiness !  and mummy's too :) main to senti ho gayi ,  that is different ! ","thanks garbage bin! this is awesome! look at guddu's face light up with happiness! and mummy's too. i became emotional, that is different! "
ye kab samjhega @JhaSanjay,when will he understand? @JhaSanjay
Apne bhai @bhak_sala ke charche hai pic.twitter.com/bHjbFFscBh,our brother @bhak_sala is becoming famous pic.twitter.com/bHjbFFscBh
#Mauka mauka har chance pe mara chauka ... Well bat #IndianCricketTeam ... @StarSportsIndia #IndvsSA,#Mauka mauka hit a four at every chance ... Well bat #IndianCricketTeam ... @StarSportsIndia #IndvsSA
.@ArvindKejriwal badhai ho sir aap papa ban gaye.,.@ArvindKejriwal congrats on becoming a father.
"Akila Dananjaya To Bhuvneshwar Kumar : Hum Zara Bowler Kya Hue "" Aap To Batsman ho Gaye #IndvsSL #INDvSL #Dhoni #Bhuvi",akila dananjaya to bhuvneshwar kumar we just became baller then you became batsman  #IndvsSL #INDvSL #Dhoni #Bhuvi 
"@SritikaDhar @IScreamPunday Haan, kar de Piyu. Haam kar de mujhe ",@SritikaDhar @IScreamPunday piyu say yes. say yes to me.
